c_bin,0,1,2,3,4,5,6,7,8,9,10,11
0,-4.172410796288225,,,,,,,,,,,
1,,,-4.027163682782012,,,,,,,,,
2,-4.097615097570741,,,,,,,,,,,
3,-4.059565471181419,,-3.9432463543856713,,,,,,,,,-3.0022115198958774
4,-4.069857333090237,,-3.9303487006795312,,,,,,,,,
5,-4.021484344875922,,-3.9549406375513234,,-3.6030817526079653,,-2.90813225358986,,,-2.903743218592725,,-3.3045965696448247
6,-4.075679215219447,,-3.983669741649976,,-3.816456498470805,,-3.313561214377646,,-2.970123486014561,,,
7,-4.058061761882057,,-3.950486383734762,,-3.5297450106994996,,-3.2745353055593807,-2.9370940017863245,-2.8537787411451196,-2.8591365243580515,,-3.2241846714413445
8,-4.0758851478876785,,-3.8936476086940557,,-3.610217821074848,,-3.166877409517173,-3.022530177052664,-2.9105788152573204,-2.875729625502677,,-3.217563713140445
9,-4.078118059888004,,-3.946295743279034,,-3.5949564142398085,,-3.3650458653472044,-2.9494227242091657,-3.0810175801494295,-3.1581058817478134,,-3.14520093480967
10,-4.0695252389977545,,-3.957094424483037,,-3.708173961883143,,-3.3445944327327917,-3.1123566662852644,-3.040871293494199,-3.0758032217056686,,-3.143269191890284
11,-4.069230309729838,,-3.904847557629037,,-3.581956360757338,,-3.2322812187604817,-3.0259306622037845,-3.0136370443451095,-3.0298020398932124,,-3.1567275958650036
12,-4.074128402563181,,-3.9412832340139636,,-3.5622854482680415,,-3.2962642873293544,-3.0787809247573654,-2.920686420653533,-3.0231693486566082,,-3.205456898191838
13,-4.117543227847204,,-3.9156738732078926,,-3.5923246222356506,,-3.21683720997245,-3.0053704538447095,-3.0242963148061297,-3.074245715743215,,-3.189044098622308
14,,,-4.00883865163893,,-3.640275419702922,,-3.2388729515695793,-3.0459426639996305,-2.9466741262727214,-2.9801166125613316,,-3.192446334924084
15,,,-3.91551759839827,,-3.54732103017311,,-3.2081561698251337,-2.9756110419389232,-3.014362956230248,-3.022369921894186,,-3.2469591235852935
16,,,-3.7035818122315125,,-3.880042731492892,,-3.045161290527497,-3.0481823407912194,-2.801354440825916,-3.0315886715429134,,-3.168176466599829
17,,,,,,,-3.514433248232658,-2.9818701933245997,-2.9976537674728725,-2.841005810837757,,-3.0793958877012324
