alpha,C_hat_ridge,median_log_rt,count
3.0,0.039550199857362245,-4.063355606805142,22
3.4,0.03836685273811065,-3.9053642726831574,24
3.8,0.039859070690053094,-3.5584505748204682,34
4.0,0.0407512856791189,-3.000445881206571,13
4.1,0.0407123063975158,-3.0079654692274778,12
4.2,0.0389823698359374,-2.9175662937005096,15
4.26,0.0407051564046529,-2.870304100131924,17
4.4,0.04047003750704645,-2.9137080807514546,30
4.6,0.0404391860190926,-2.9598076709469194,25
5.0,0.0393058312896912,-3.1266995091445247,11
